"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","4","16"
"Total service\Protocol","20","4","16"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
BS_Data    000000000485C000-000000000485CFFF 0000000000000001 0000000000000008
LoaderData 000000000485D000-000000000485EFFF 0000000000000002 0000000000000008
BS_Data    000000000485F000-000000000485FFFF 0000000000000001 0000000000000008
LoaderData 0000000004860000-0000000004861FFF 0000000000000002 0000000000000008
BS_Data    0000000004862000-0000000004862FFF 0000000000000001 0000000000000008
LoaderData 0000000004863000-0000000004864FFF 0000000000000002 0000000000000008
BS_Data    0000000004865000-0000000004865FFF 0000000000000001 0000000000000008
LoaderData 0000000004866000-0000000004869FFF 0000000000000004 0000000000000008
BS_Data    000000000486A000-000000000486BFFF 0000000000000002 0000000000000008
LoaderData 000000000486C000-0000000004871FFF 0000000000000006 0000000000000008
BS_Data    0000000004872000-0000000004873FFF 0000000000000002 0000000000000008
LoaderData 0000000004874000-0000000004877FFF 0000000000000004 0000000000000008
BS_Data    0000000004878000-0000000004878FFF 0000000000000001 0000000000000008
LoaderData 0000000004879000-000000000487AFFF 0000000000000002 0000000000000008
BS_Data    000000000487B000-000000000487BFFF 0000000000000001 0000000000000008
LoaderData 000000000487C000-000000000487DFFF 0000000000000002 0000000000000008
BS_Data    000000000487E000-000000000487EFFF 0000000000000001 0000000000000008
LoaderData 000000000487F000-0000000004882FFF 0000000000000004 0000000000000008
BS_Data    0000000004883000-0000000004884FFF 0000000000000002 0000000000000008
LoaderData 0000000004885000-000000000488AFFF 0000000000000006 0000000000000008
BS_Data    000000000488B000-000000000488CFFF 0000000000000002 0000000000000008
LoaderData 000000000488D000-0000000004890FFF 0000000000000004 0000000000000008
BS_Data    0000000004891000-0000000004891FFF 0000000000000001 0000000000000008
LoaderData 0000000004892000-0000000004893FFF 0000000000000002 0000000000000008
BS_Data    0000000004894000-0000000004894FFF 0000000000000001 0000000000000008
LoaderData 0000000004895000-0000000004896FFF 0000000000000002 0000000000000008
BS_Data    0000000004897000-0000000004897FFF 0000000000000001 0000000000000008
LoaderData 0000000004898000-0000000004899FFF 0000000000000002 0000000000000008
BS_Data    000000000489A000-000000000489AFFF 0000000000000001 0000000000000008
LoaderData 000000000489B000-000000000489CFFF 0000000000000002 0000000000000008
BS_Data    000000000489D000-000000000489DFFF 0000000000000001 0000000000000008
LoaderData 000000000489E000-000000000489FFFF 0000000000000002 0000000000000008
BS_Data    00000000048A0000-00000000048A0FFF 0000000000000001 0000000000000008
LoaderData 00000000048A1000-00000000048A4FFF 0000000000000004 0000000000000008
BS_Data    00000000048A5000-00000000048A6FFF 0000000000000002 0000000000000008
LoaderData 00000000048A7000-00000000048AAFFF 0000000000000004 0000000000000008
BS_Data    00000000048AB000-00000000048ABFFF 0000000000000001 0000000000000008
LoaderData 00000000048AC000-00000000048AFFFF 0000000000000004 0000000000000008
BS_Data    00000000048B0000-00000000048B1FFF 0000000000000002 0000000000000008
LoaderData 00000000048B2000-00000000048B7FFF 0000000000000006 0000000000000008
BS_Data    00000000048B8000-00000000048B9FFF 0000000000000002 0000000000000008
LoaderData 00000000048BA000-00000000048BDFFF 0000000000000004 0000000000000008
BS_Data    00000000048BE000-00000000048BEFFF 0000000000000001 0000000000000008
LoaderData 00000000048BF000-00000000048C2FFF 0000000000000004 0000000000000008
BS_Data    00000000048C3000-00000000048C4FFF 0000000000000002 0000000000000008
LoaderData 00000000048C5000-00000000048C8FFF 0000000000000004 0000000000000008
BS_Data    00000000048C9000-00000000048C9FFF 0000000000000001 0000000000000008
LoaderData 00000000048CA000-00000000048CBFFF 0000000000000002 0000000000000008
BS_Data    00000000048CC000-00000000048CCFFF 0000000000000001 0000000000000008
LoaderData 00000000048CD000-00000000048D0FFF 0000000000000004 0000000000000008
BS_Data    00000000048D1000-00000000048D1FFF 0000000000000001 0000000000000008
LoaderData 00000000048D2000-00000000048D3FFF 0000000000000002 0000000000000008
BS_Data    00000000048D4000-00000000048D5FFF 0000000000000002 0000000000000008
LoaderData 00000000048D6000-00000000048D9FFF 0000000000000004 0000000000000008
BS_Data    00000000048DA000-00000000048DAFFF 0000000000000001 0000000000000008
LoaderData 00000000048DB000-00000000048DCFFF 0000000000000002 0000000000000008
BS_Data    00000000048DD000-00000000048DDFFF 0000000000000001 0000000000000008
LoaderData 00000000048DE000-00000000048DFFFF 0000000000000002 0000000000000008
BS_Data    00000000048E0000-00000000048E0FFF 0000000000000001 0000000000000008
LoaderData 00000000048E1000-00000000048E2FFF 0000000000000002 0000000000000008
BS_Data    00000000048E3000-00000000048E3FFF 0000000000000001 0000000000000008
LoaderData 00000000048E4000-00000000048E5FFF 0000000000000002 0000000000000008
BS_Data    00000000048E6000-00000000048E6FFF 0000000000000001 0000000000000008
LoaderData 00000000048E7000-00000000048E8FFF 0000000000000002 0000000000000008
BS_Data    00000000048E9000-00000000048E9FFF 0000000000000001 0000000000000008
LoaderData 00000000048EA000-00000000048EBFFF 0000000000000002 0000000000000008
BS_Data    00000000048EC000-00000000048ECFFF 0000000000000001 0000000000000008
LoaderData 00000000048ED000-00000000048EEFFF 0000000000000002 0000000000000008
BS_Data    00000000048EF000-00000000048EFFFF 0000000000000001 0000000000000008
LoaderData 00000000048F0000-00000000048F1FFF 0000000000000002 0000000000000008
BS_Data    00000000048F2000-00000000048F2FFF 0000000000000001 0000000000000008
LoaderData 00000000048F3000-00000000048F4FFF 0000000000000002 0000000000000008
BS_Data    00000000048F5000-00000000048F5FFF 0000000000000001 0000000000000008
LoaderData 00000000048F6000-00000000048F7FFF 0000000000000002 0000000000000008
BS_Data    00000000048F8000-00000000048F8FFF 0000000000000001 0000000000000008
LoaderData 00000000048F9000-00000000048FAFFF 0000000000000002 0000000000000008
BS_Data    00000000048FB000-00000000048FBFFF 0000000000000001 0000000000000008
LoaderData 00000000048FC000-00000000048FFFFF 0000000000000004 0000000000000008
BS_Data    0000000004900000-0000000004901FFF 0000000000000002 0000000000000008
LoaderData 0000000004902000-0000000004905FFF 0000000000000004 0000000000000008
BS_Data    0000000004906000-0000000004906FFF 0000000000000001 0000000000000008
