"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ProtocolHandlerServicesTest","146","6","140"
"Total service\Protocol","146","6","140"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.30","0","0","797D540F-0B07-40C2-9A92-DBE8AE42AAA7","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12908:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.33","0","0","FF8E9B83-3056-4460-AFCF-00EA497F3B88","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12940:Status - Not Found, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.28","0","0","8B053397-4EF1-44B6-B506-FF31C1297AC5","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12876:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.31","0","0","E9083C7C-0EC6-4D4E-82AA-37C715F01B2B","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12908:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.34","0","0","3DAB87DD-3300-4BD1-BE7D-8ABC7F2D7CEC","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12940:Status - Not Found, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.29","0","0","E76AB343-1C15-4464-A9AE-15191F54206B","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12876:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.32","0","0","2661FC3B-060E-459B-B69E-9ABDF38D1878","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12908:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.35","0","0","05746BBF-24EC-4A9B-87F8-C1E1A3599A85","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12940:Status - Not Found, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.36","0","0","E5AC854A-ED36-4A52-8BF5-A2CF387287EF","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle recursively at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:13129:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.39","0","0","AC33FC14-5103-4F74-9E45-E52EA234A605","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle recursively at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:13161:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.42","0","0","DE796BE2-A687-4853-B823-D46F4504B5F2","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle recursively at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:13193:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.37","0","0","FF98CCD3-ABD4-40F5-A861-BAAF441B8516","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle recursively at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:13129:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.40","0","0","6C322336-A1C9-44A5-BDE7-284BB80EB39C","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle recursively at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:13161:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
